,Unnamed: 0,params,mean_test_score
0,0,svc__C=0.1 svc__dual=True svc__loss=hinge svc__penalty=l2,0.8937666666666666
1,1,svc__C=1 svc__dual=True svc__loss=hinge svc__penalty=l2,0.8979694444444445
2,2,svc__C=10 svc__dual=True svc__loss=hinge svc__penalty=l2,0.8832916666666666
3,3,svc__C=0.1 svc__dual=True svc__loss=squared_hinge svc__penalty=l2,0.898938888888889
4,4,svc__C=1 svc__dual=True svc__loss=squared_hinge svc__penalty=l2,0.8939694444444445
5,5,svc__C=10 svc__dual=True svc__loss=squared_hinge svc__penalty=l2,0.872525
6,6,svc__C=0.1 svc__dual=False svc__loss=squared_hinge svc__penalty=l1,0.8932638888888889
7,7,svc__C=1 svc__dual=False svc__loss=squared_hinge svc__penalty=l1,0.8953805555555555
8,8,svc__C=10 svc__dual=False svc__loss=squared_hinge svc__penalty=l1,0.8596194444444446
9,9,svc__C=0.1 svc__dual=False svc__loss=squared_hinge svc__penalty=l2,0.8989444444444444
10,10,svc__C=1 svc__dual=False svc__loss=squared_hinge svc__penalty=l2,0.8939777777777778
11,11,svc__C=10 svc__dual=False svc__loss=squared_hinge svc__penalty=l2,0.8725388888888889
